draw_no,date,numbers,bonus,num1,num2,num3,num4,num5,num6,total_sales,first_prize_amount,first_prize_winners,first_accum_amount
1,2002-12-07,"[10, 23, 29, 33, 37, 40]",16,10,23,29,33,37,40,3681782000,0,0,863604600
2,2002-12-14,"[9, 13, 21, 25, 32, 42]",2,9,13,21,25,32,42,4904274000,2002006800,1,0
3,2002-12-21,"[11, 16, 19, 21, 27, 31]",30,11,16,19,21,27,31,4729342000,2000000000,1,0
4,2002-12-28,"[14, 27, 30, 31, 40, 42]",2,14,27,30,31,40,42,5271464000,0,0,1267147200
5,2003-01-04,"[16, 24, 29, 40, 41, 42]",3,16,24,29,40,41,42,6277102000,0,0,3041094900
6,2003-01-11,"[14, 15, 26, 27, 40, 42]",34,14,15,26,27,40,42,15305356000,6574451700,1,0
7,2003-01-18,"[2, 9, 16, 25, 26, 40]",42,2,9,16,25,26,40,12794890000,0,0,2600913000
8,2003-01-25,"[8, 19, 25, 34, 37, 39]",9,8,19,25,34,37,39,20751450000,0,0,7336896000
9,2003-02-01,"[2, 4, 16, 17, 36, 39]",14,2,4,16,17,36,39,73624020000,0,0,25803852000
10,2003-02-08,"[9, 25, 30, 33, 41, 44]",6,9,25,30,33,41,44,260856392000,6430437900,13,0
11,2003-02-15,"[1, 7, 36, 37, 41, 42]",14,1,7,36,37,41,42,91925306000,4780152300,5,0
12,2003-02-22,"[2, 11, 21, 25, 39, 45]",44,2,11,21,25,39,45,76255508000,1348845700,12,0
13,2003-03-01,"[22, 23, 25, 37, 38, 42]",26,22,23,25,37,38,42,66532136000,0,0,15599134800
14,2003-03-08,"[2, 6, 12, 31, 33, 40]",15,2,6,12,31,33,40,99838648000,9375048300,4,0
15,2003-03-15,"[3, 4, 16, 30, 31, 37]",13,3,4,16,30,31,37,73264910000,17014245000,1,0
16,2003-03-22,"[6, 7, 24, 37, 38, 40]",33,6,7,24,37,38,40,75777348000,4377146100,4,0
17,2003-03-29,"[3, 4, 9, 17, 32, 37]",1,3,4,9,17,32,37,72718152000,5349491200,3,0
18,2003-04-05,"[3, 12, 13, 19, 32, 35]",29,3,12,13,19,32,35,66371660000,0,0,15751560000
19,2003-04-12,"[6, 30, 38, 39, 40, 43]",26,6,30,38,39,40,43,105957818000,40722959400,1,0
20,2003-04-19,"[10, 14, 18, 20, 23, 30]",41,10,14,18,20,23,30,81056776000,19352212800,1,0
21,2003-04-26,"[6, 12, 17, 18, 31, 32]",21,6,12,17,18,31,32,84247142000,797475400,23,0
22,2003-05-03,"[4, 5, 6, 8, 17, 39]",25,4,5,6,8,17,39,79455152000,4552194900,4,0
23,2003-05-10,"[5, 13, 17, 18, 33, 42]",44,5,13,17,18,33,42,77374256000,4317947700,4,0
24,2003-05-17,"[7, 8, 27, 29, 36, 43]",6,7,8,27,29,36,43,78486634000,0,0,19010560200
25,2003-05-24,"[2, 4, 21, 26, 43, 44]",16,2,4,21,26,43,44,120073768000,24227745300,2,0
26,2003-05-31,"[4, 5, 7, 18, 20, 25]",31,4,5,7,18,20,25,80193026000,3495069900,5,0
27,2003-06-07,"[1, 20, 26, 28, 37, 43]",27,1,20,26,28,37,43,76145050000,9543982500,2,0
28,2003-06-14,"[9, 18, 23, 25, 35, 37]",1,9,18,23,25,35,37,75448366000,1700361100,10,0
29,2003-06-21,"[1, 5, 13, 34, 39, 40]",11,1,5,13,34,39,40,74523120000,3552594000,5,0
30,2003-06-28,"[8, 17, 20, 35, 36, 44]",4,8,17,20,35,36,44,72399690000,8728555500,2,0
31,2003-07-05,"[7, 9, 18, 23, 28, 35]",32,7,9,18,23,28,35,71317306000,8106672900,2,0
32,2003-07-12,"[6, 14, 19, 25, 34, 44]",11,6,14,19,25,34,44,71179198000,1634528300,10,0
33,2003-07-19,"[4, 7, 32, 33, 40, 41]",9,4,7,32,33,40,41,67457252000,14903517600,1,0
34,2003-07-26,"[9, 26, 35, 37, 40, 42]",2,9,26,35,37,40,42,69389894000,3056918000,5,0
35,2003-08-02,"[2, 3, 11, 26, 37, 43]",39,2,3,11,26,37,43,66143062000,5054598200,3,0
36,2003-08-09,"[1, 10, 23, 26, 28, 40]",31,1,10,23,26,28,40,66856686000,16014475800,1,0
37,2003-08-16,"[7, 27, 30, 33, 35, 37]",42,7,27,30,33,35,37,65509794000,4985999400,3,0
38,2003-08-23,"[16, 17, 22, 30, 37, 43]",36,16,17,22,30,37,43,67369284000,5374866400,3,0
39,2003-08-30,"[6, 7, 13, 15, 21, 43]",8,6,7,13,15,21,43,66094476000,2623748800,6,0
40,2003-09-06,"[7, 13, 18, 19, 25, 26]",6,7,13,18,19,25,26,65699086000,1147652400,13,0
41,2003-09-13,"[13, 20, 23, 35, 38, 43]",34,13,20,23,35,38,43,57624562000,0,0,13784904600
42,2003-09-20,"[17, 18, 19, 21, 23, 32]",1,17,18,19,21,23,32,119909740000,6899280100,6,0
43,2003-09-27,"[6, 31, 35, 38, 39, 44]",1,6,31,35,38,39,44,74686296000,17749630800,1,0
44,2003-10-04,"[3, 11, 21, 30, 38, 45]",39,3,11,21,30,38,45,69956950000,3362155800,5,0
45,2003-10-11,"[1, 10, 20, 27, 33, 35]",17,1,10,20,27,33,35,71216232000,8356417800,2,0
46,2003-10-18,"[8, 13, 15, 23, 31, 38]",39,8,13,15,23,31,38,68181568000,5327758800,3,0
47,2003-10-25,"[14, 17, 26, 31, 36, 45]",27,14,17,26,31,36,45,67756694000,3250042400,5,0
48,2003-11-01,"[6, 10, 18, 26, 37, 38]",3,6,10,18,26,37,38,65806832000,2415673600,6,0
49,2003-11-08,"[4, 7, 16, 19, 33, 40]",30,4,7,16,19,33,40,64501142000,1967504600,7,0
50,2003-11-15,"[2, 10, 12, 15, 22, 44]",1,2,10,12,15,22,44,65563234000,5227061400,3,0
51,2003-11-22,"[2, 3, 11, 16, 26, 44]",35,2,3,11,16,26,44,62553680000,2421117000,6,0
52,2003-11-29,"[2, 4, 15, 16, 20, 29]",1,2,4,15,16,20,29,64393446000,3900844900,4,0
53,2003-12-06,"[7, 8, 14, 32, 33, 39]",42,7,8,14,32,33,39,64996010000,5014371000,3,0
54,2003-12-13,"[1, 8, 21, 27, 36, 39]",37,1,8,21,27,36,39,63833006000,5148626600,3,0
